position,ticker,company,sector,in_kospi200,source_as_of,source_url
147,014680,한솔케미칼,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
148,009970,영원무역홀딩스,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
149,007070,GS리테일,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
150,073240,금호타이어,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
151,069960,현대백화점,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
152,002790,아모레퍼시픽홀딩스,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
153,139480,이마트,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
154,051600,한전KPS,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
155,112610,씨에스윈드,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
156,457190,이수스페셜티케미컬,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
157,071970,HD현대마린엔진,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
158,000120,CJ대한통운,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
159,006040,동원산업,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
160,008770,호텔신라,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
161,011210,현대위아,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
162,001800,오리온홀딩스,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
163,120110,코오롱인더,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
164,006280,녹십자,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
165,001430,세아베스틸지주,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
166,069620,대웅제약,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
167,298020,효성티앤씨,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
168,007310,오뚜기,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
169,093370,후성,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
170,192080,더블유게임즈,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
171,280360,롯데웰푸드,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
172,017960,한국카본,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
173,300720,한일시멘트,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
174,361610,SK아이이테크놀로지,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
175,004000,롯데정밀화학,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
176,000080,하이트진로,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
177,000210,DL,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
178,003240,태광산업,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
179,003090,대웅,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
180,185750,종근당,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
181,005300,롯데칠성,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
182,009240,한샘,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
183,285130,SK케미칼,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
184,034230,파라다이스,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
185,071320,지역난방공사,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
186,298050,HS효성첨단소재,,Y,2026-08-23,https://finance.naver.com/sise/entryJongmok.naver?code=KOSPI200&page=1
